exportVersion,rowType,curriculumId,curriculumName,courseCode,courseName,lectureHours,laboratoryHours,units,yearLevel,semester,isElective,minYearStandingRequired,relatedCourseCode,trackName,notes
1,prerequisite,,BSARCH Curriculum 2023,AR 501,Architectural Design 9,,,5,,,false,,AR 491,,
1,prerequisite,,BSARCH Curriculum 2023,AR 551,Housing,,,2,,,false,,AR 451,,
1,prerequisite,,BSARCH Curriculum 2023,AR 541,Business Management and Application for Architecture 1,,,3,,,false,,AR 442,,
1,prerequisite,,BSARCH Curriculum 2023,AR 591,Specialization 2,,,3,,,false,,AR 492,,
1,prerequisite,,BSARCH Curriculum 2023,AR 591,Specialization 2,,,3,,,false,,ARSC 443,,
1,prerequisite,,BSARCH Curriculum 2023,AR 595,Integration Course for Architecture 2,,,3,,,false,,AR 495,,
1,prerequisite,,BSARCH Curriculum 2023,AR 595,Integration Course for Architecture 2,,,3,,,false,,AR 402,,
1,prerequisite,,BSARCH Curriculum 2023,AR 595,Integration Course for Architecture 2,,,3,,,false,,AR 442,,
1,prerequisite,,BSARCH Curriculum 2023,AR 595,Integration Course for Architecture 2,,,3,,,false,,AR 452,,
1,prerequisite,,BSARCH Curriculum 2023,AR 595,Integration Course for Architecture 2,,,3,,,false,,ARSC 443,,
1,prerequisite,,BSARCH Curriculum 2023,AR 502,Architectural Design 10,,,5,,,false,,AR 501,,
1,prerequisite,,BSARCH Curriculum 2023,AR 542,Business Management and Application for Architecture 2,,,3,,,false,,AR 541,,
1,prerequisite,,BSARCH Curriculum 2023,AR 592,Specialization 3,,,3,,,false,,AR 591,,
1,prerequisite,,BSARCH Curriculum 2023,AR 596,Architectural Internship (200 hours),,,2,,,false,,AR 402,,
1,prerequisite,,BSARCH Curriculum 2023,AR 596,Architectural Internship (200 hours),,,2,,,false,,AR 421,,
1,prerequisite,,BSARCH Curriculum 2023,AR 596,Architectural Internship (200 hours),,,2,,,false,,CADD 332,,
1,prerequisite,,BSARCH Curriculum 2023,AR 492A,"Specialization 1: Principles of Construction Management, Planning and Scheduling",,,3,,,false,,AR 401,,
1,prerequisite,,BSARCH Curriculum 2023,AR 591A,Specialization 2: Cost Management,,,3,,,false,,AR 492A,,
1,prerequisite,,BSARCH Curriculum 2023,AR 591A,Specialization 2: Cost Management,,,3,,,false,,ARSC 443,,
1,prerequisite,,BSARCH Curriculum 2023,AR 592A,Specialization 3: Construction Safety and Risk Management,,,3,,,false,,AR 591A,,
1,prerequisite,,BSARCH Curriculum 2023,AR 492B,Specialization 1: Introduction to Environmental Planning and the Planning Process,,,3,,,false,,AR 401,,
